"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"GeneralInjury"	"ReducedInjuryTypes"
"1901"	Apr 27, 2013	Missed the last 23 regular season games (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	23	TRUE	upper body injury	TRUE	97	0	3	11	2013	4	27	2013	47	upper body	upper body
"15162"	Nov 15, 2014	Missed 2 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	2	TRUE	lower body injury	FALSE	98	0	11	11	2014	11	15	2014	4	lower body	lower body
"5369"	Feb 12, 2015	Missed 2 games (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	2	TRUE	upper body injury	FALSE	99	0	2	08	2015	2	12	2015	4	upper body	upper body
"13018"	Mar 24, 2015	Missed 1 game (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	100	0	3	21	2015	3	24	2015	3	lower body	lower body
"2397"	Dec 03, 2015	Missed 1 game (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	101	0	12	01	2015	12	03	2015	2	lower body	lower body
"3424"	Dec 17, 2015	Missed 4 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	4	TRUE	lower body injury	FALSE	102	0	12	08	2015	12	17	2015	9	lower body	lower body
"5128"	Feb 09, 2016	Missed 12 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	12	TRUE	lower body injury	FALSE	103	0	1	09	2016	2	09	2016	31	lower body	lower body
"15647"	Nov 21, 2016	Missed 1 game (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	upper body injury	FALSE	104	0	11	19	2016	11	21	2016	2	upper body	upper body
"8887"	Jan 24, 2017	Missed 8 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	8	TRUE	lower body injury	FALSE	105	0	1	08	2017	1	24	2017	16	lower body	lower body
"12607"	Mar 18, 2017	Missed 1 game (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	106	0	3	16	2017	3	18	2017	2	lower body	lower body
"1878"	Apr 26, 2017	Missed the last 2 regular season and first 4 playoff games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	6	TRUE	lower body injury	TRUE	107	0	4	06	2017	4	26	2017	20	lower body	lower body
"10499"	Jun 08, 2017	Missed the last 4 playoff games (undisclosed).	COLIN	WILSON	COLORADO	AVALANCHE	4	TRUE	undisclosed	TRUE	108	0	5	29	2017	6	08	2017	10	undisclosed	undisclosed
"14832"	Nov 10, 2017	Missed 6 games (hip injury).	COLIN	WILSON	COLORADO	AVALANCHE	6	TRUE	hip injury	FALSE	109	0	10	24	2017	11	10	2017	17	hip	lower body
"2541"	Dec 05, 2017	Missed 3 games (hip/groin injury).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	hip/groin injury	FALSE	110	0	11	29	2017	12	05	2017	6	hip	lower body
"9328"	Jan 30, 2018	Missed 4 games (flu).	COLIN	WILSON	COLORADO	AVALANCHE	4	TRUE	flu	FALSE	111	0	1	20	2018	1	30	2018	10	cold/virus	illness
"8853"	Jan 24, 2014	Missed 2 games (head injury).	NAIL	YAKUPOV	COLORADO	AVALANCHE	2	TRUE	head injury	FALSE	112	0	1	18	2014	1	24	2014	6	head	head/neck/face
"11564"	Mar 04, 2014	Missed 1 game (ankle injury).	NAIL	YAKUPOV	COLORADO	AVALANCHE	1	TRUE	ankle injury	FALSE	113	0	3	01	2014	3	04	2014	3	ankle	foot
"1170"	Apr 12, 2014	Missed the last 13 regular season games (ankle injury).	NAIL	YAKUPOV	COLORADO	AVALANCHE	13	TRUE	ankle injury	TRUE	114	0	3	18	2014	4	12	2014	25	ankle	foot
"6803"	Feb 28, 2015	Missed 1 game (groin).	NAIL	YAKUPOV	COLORADO	AVALANCHE	1	TRUE	groin	FALSE	115	0	2	24	2015	2	28	2015	4	groin	lower body
"8039"	Jan 14, 2016	Missed 22 games (ankle injury).	NAIL	YAKUPOV	COLORADO	AVALANCHE	22	TRUE	ankle injury	FALSE	116	0	11	26	2015	1	14	2016	49	ankle	foot
"7430"	Jan 07, 2017	Missed 2 games (illness).	NAIL	YAKUPOV	COLORADO	AVALANCHE	2	TRUE	illness	FALSE	117	0	1	02	2017	1	07	2017	5	cold/virus	illness
"13759"	May 07, 2017	Missed the last 5 regular season and all 11 playoff games (lower body injury).	NAIL	YAKUPOV	COLORADO	AVALANCHE	16	TRUE	lower body injury	TRUE	118	0	4	02	2017	5	07	2017	35	lower body	lower body
"3359"	Dec 16, 2017	Missed 3 games (illness).	NAIL	YAKUPOV	COLORADO	AVALANCHE	3	TRUE	illness	FALSE	119	0	12	11	2017	12	16	2017	5	cold/virus	illness
"17731"	Oct 19, 2013	Missed 9 games (finger injury).	NIKITA	ZADOROV	COLORADO	AVALANCHE	9	TRUE	finger injury	FALSE	120	0	10	01	2013	10	19	2013	18	finger	arm/hand
"427"	Apr 05, 2016	Missed 1 game (concussion).	NIKITA	ZADOROV	COLORADO	AVALANCHE	1	TRUE	concussion	FALSE	121	0	4	02	2016	4	05	2016	3	concussion	concussion
"885"	Apr 09, 2017	Missed the last 25 regular season games (fractured ankle).	NIKITA	ZADOROV	COLORADO	AVALANCHE	25	TRUE	fractured ankle	TRUE	122	0	2	20	2017	4	09	2017	48	ankle	foot
"12788"	Mar 21, 2012	Missed 2 games (upper body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	2	TRUE	upper body injury	FALSE	123	0	3	17	2012	3	21	2012	4	upper body	upper body
"5993"	Feb 21, 2013	Missed 2 games (right foot injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	2	TRUE	right foot injury	FALSE	124	0	2	16	2013	2	21	2013	5	foot	foot
"11231"	Mar 01, 2013	Missed 3 games (head injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	3	TRUE	head injury	FALSE	125	0	2	23	2013	3	01	2013	6	head	head/neck/face
"12296"	Mar 14, 2013	Missed 3 games (lower body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	3	TRUE	lower body injury	FALSE	126	0	3	09	2013	3	14	2013	5	lower body	lower body
"1895"	Apr 27, 2013	Missed 5 games (head injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	5	TRUE	head injury	FALSE	127	0	4	15	2013	4	27	2013	12	head	head/neck/face
"15164"	Nov 15, 2014	Missed 7 games (concussion).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	7	TRUE	concussion	FALSE	129	0	10	29	2014	11	15	2014	17	concussion	concussion
"9234"	Jan 29, 2015	Missed 23 games (triceps injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	23	TRUE	triceps injury	FALSE	130	0	12	01	2014	1	29	2015	59	muscle	other
"8036"	Jan 14, 2016	Missed 1 game (illness).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	1	TRUE	illness	FALSE	131	0	1	12	2016	1	14	2016	2	cold/virus	illness
"13572"	Mar 31, 2016	Missed 2 games (lower body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	2	TRUE	lower body injury	FALSE	132	0	3	27	2016	3	31	2016	4	lower body	lower body
"1196"	Apr 12, 2016	Missed the last 2 regular season games (upper body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	2	TRUE	upper body injury	TRUE	133	0	4	06	2016	4	12	2016	6	upper body	upper body
"15035"	Nov 13, 2016	Missed 1 game (upper body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	1	TRUE	upper body injury	FALSE	134	0	11	10	2016	11	13	2016	3	upper body	upper body
"4075"	Dec 27, 2016	Missed 3 games (upper body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	3	TRUE	upper body injury	FALSE	135	0	12	18	2016	12	27	2016	9	upper body	upper body
"11595"	Mar 04, 2017	Missed 1 game (lower body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	1	TRUE	lower body injury	FALSE	136	0	3	02	2017	3	04	2017	2	lower body	lower body
"1301"	Apr 13, 2017	Missed the last 13 regular season games (lower body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	13	TRUE	lower body injury	TRUE	137	0	3	15	2017	4	13	2017	29	lower body	lower body
"8755"	Jan 22, 2018	Missed 10 games (upper body injury).	ARTEM	ANISIMOV	CHICAGO	BLACKHAWKS	10	TRUE	upper body injury	FALSE	138	0	12	29	2017	1	22	2018	24	upper body	upper body
"8731"	Jan 22, 2016	Missed 22 games (lower body injury).	J.F.	BERUBE	CHICAGO	BLACKHAWKS	22	TRUE	lower body injury	FALSE	139	0	11	28	2015	1	22	2016	55	lower body	lower body
"1352"	Apr 14, 2016	Missed the last 5 regular season games (lower body injury).	J.F.	BERUBE	CHICAGO	BLACKHAWKS	5	TRUE	lower body injury	TRUE	140	0	4	04	2016	4	14	2016	10	lower body	lower body
"3503"	Dec 18, 2015	Missed 1 game (illness).	ANTHONY	DUCLAIR	CHICAGO	BLACKHAWKS	1	TRUE	illness	FALSE	141	0	12	17	2015	12	18	2015	1	cold/virus	illness
