"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"year"	"month"	"day"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"
"25"	Apr 02, 2011	Missed 9 games (upper body injury).	TANNER	GLASS	CALGARY	FLAMES	2011	4	2	9	TRUE	upper body injury	FALSE	55	0	3	12	2011	4	2	2011	21	1299931200	1301745600	upper body	upper body	TANNER GLASS	0	367
"26"	Apr 02, 2015	Missed 3 games (back spasms).	MATT	HENDRICKS	WINNIPEG	JETS	2015	4	02	3	TRUE	back spasms	FALSE	1893	0	3	27	2015	4	02	2015	518400	1427457600	1427976000	back	mid body	MATT HENDRICKS	1	200
"27"	Apr 02, 2015	Missed 3 games (upper body injury).	KYLE	BRODZIAK	ST. LOUIS	BLUES	2015	4	02	3	TRUE	upper body injury	FALSE	363	0	3	24	2015	4	02	2015	777600	1427198400	1427976000	upper body	upper body	KYLE BRODZIAK	1	260
"28"	Apr 02, 2015	Missed 3 games (upper body injury).	RILEY	SHEAHAN	PITTSBURGH	PENGUINS	2015	4	02	3	TRUE	upper body injury	FALSE	2808	0	3	27	2015	4	02	2015	518400	1427457600	1427976000	upper body	upper body	RILEY SHEAHAN	0	307
"29"	Apr 02, 2016	Missed 1 game (illness).	OLIVER	EKMAN-LARSSON	ARIZONA	COYOTES	2016	4	02	1	TRUE	illness	FALSE	999	0	3	31	2016	4	02	2016	172800	1459425600	1459598400	cold/virus	illness	OLIVER EKMAN-LARSSON	1	NA
"30"	Apr 02, 2016	Missed 12 games (upper body injury).	JACOB	JOSEFSON	BUFFALO	SABRES	2016	4	02	12	TRUE	upper body injury	FALSE	3300	0	3	06	2016	4	02	2016	2332800	1457265600	1459598400	upper body	upper body	JACOB JOSEFSON	1	260
"31"	Apr 02, 2016	Missed 29 games (lower body injury).	DANIEL	CARR	MONTREAL	CANADIENS	2016	4	02	29	TRUE	lower body injury	FALSE	682	0	1	26	2016	4	02	2016	5788800	1453809600	1459598400	lower body	lower body	DANIEL CARR	0	NA
"32"	Apr 02, 2016	Missed 3 games (upper body injury).	BRIAN	DUMOULIN	PITTSBURGH	PENGUINS	2016	4	02	3	TRUE	upper body injury	FALSE	2669	0	3	27	2016	4	02	2016	518400	1459080000	1459598400	upper body	upper body	BRIAN DUMOULIN	0	270
"33"	Apr 02, 2016	Missed 6 games (undisclosed).	DAVID	SCHLEMKO	MONTREAL	CANADIENS	2016	4	02	6	TRUE	undisclosed	FALSE	749	0	3	20	2016	4	02	2016	1123200	1458475200	1459598400	undisclosed	undisclosed	DAVID SCHLEMKO	1	235
"34"	Apr 02, 2017	Missed 11 games (lower body injury).	TYLER	JOHNSON	TAMPA BAY	LIGHTNING	2017	4	02	11	TRUE	lower body injury	FALSE	2186	0	3	11	2017	4	02	2017	1900800	1489233600	1491134400	lower body	lower body	TYLER JOHNSON	1	4
"35"	Apr 02, 2017	Missed 15 games (upper body injury).	KEVIN	CONNAUTON	ARIZONA	COYOTES	2017	4	02	15	TRUE	upper body injury	FALSE	980	0	3	03	2017	4	02	2017	2592000	1488542400	1491134400	upper body	upper body	KEVIN CONNAUTON	1	193
"36"	Apr 02, 2017	Missed 9 games (upper body injury).	DMITRIJ	JASKIN	ST. LOUIS	BLUES	2017	4	02	9	TRUE	upper body injury	FALSE	393	0	3	14	2017	4	02	2017	1641600	1489492800	1491134400	upper body	upper body	DMITRIJ JASKIN	1	257
"37"	Apr 03, 2007	Missed 2 games (flu).	DION	PHANEUF	LOS ANGELES	KINGS	2007	4	03	2	TRUE	flu	FALSE	2071	0	3	29	2007	4	03	2007	432000	1175169600	1175601600	cold/virus	illness	DION PHANEUF	1	738
"38"	Apr 03, 2008	Missed 1 game (head injury).	RON	HAINSEY	TORONTO	MAPLELEAFS	2008	4	03	1	TRUE	head injury	FALSE	2292	0	3	30	2008	4	03	2008	345600	1206878400	1207224000	head	head/neck/face	RON HAINSEY	1	348
"39"	Apr 03, 2009	Missed 16 games (groin).	JASON	CHIMERA	ANAHEIM	DUCKS	2009	4	03	16	TRUE	groin	FALSE	1108	0	2	26	2009	4	03	2009	3110400	1235649600	1238760000	groin	lower body	JASON CHIMERA	1	313
"40"	Apr 03, 2010	Missed 15 games (broken left foot).	EVANDER	KANE	SAN JOSE	SHARKS	2010	4	03	15	TRUE	broken left foot	FALSE	3607	0	3	07	2010	4	03	2010	2332800	1267963200	1270296000	foot	foot	EVANDER KANE	1	243
"41"	Apr 03, 2010	Missed 5 games (right foot injury).	EVGENI	MALKIN	PITTSBURGH	PENGUINS	2010	4	03	5	TRUE	right foot injury	FALSE	2755	0	3	22	2010	4	03	2010	1036800	1269259200	1270296000	foot	foot	EVGENI MALKIN	1	3
"42"	Apr 03, 2013	Missed 3 games (upper body injury).	NICK	FOLIGNO	COLUMBUS	BLUEJACKETS	2013	4	03	3	TRUE	upper body injury	FALSE	250	0	3	28	2013	4	03	2013	518400	1364472000	1364990400	upper body	upper body	NICK FOLIGNO	1	366
"43"	Apr 03, 2013	Missed 6 games (lower body injury).	BRANDON	DUBINSKY	COLUMBUS	BLUEJACKETS	2013	4	03	6	TRUE	lower body injury	FALSE	238	0	3	22	2013	4	03	2013	1036800	1363953600	1364990400	lower body	lower body	BRANDON DUBINSKY	1	4
"44"	Apr 03, 2014	Missed 18 games (hand injury).	PAUL	MARTIN	SAN JOSE	SHARKS	2014	4	03	18	TRUE	hand injury	FALSE	3647	0	2	25	2014	4	03	2014	3196800	1393329600	1396526400	hand	arm/hand	PAUL MARTIN	1	261
"45"	Apr 03, 2014	Missed 6 games (concussion).	JOHN	MOORE	NEW JERSEY	DEVILS	2014	4	03	6	TRUE	concussion	FALSE	1769	0	3	22	2014	4	03	2014	1036800	1395489600	1396526400	concussion	concussion	JOHN MOORE	1	558
"46"	Apr 03, 2015	Missed 1 game (flu).	RASMUS	RISTOLAINEN	BUFFALO	SABRES	2015	4	03	1	TRUE	flu	FALSE	3364	0	4	01	2015	4	03	2015	172800	1427889600	1428062400	cold/virus	illness	RASMUS RISTOLAINEN	1	946
"47"	Apr 03, 2015	Missed 1 game (upper body injury).	RYAN	KESLER	ANAHEIM	DUCKS	2015	4	03	1	TRUE	upper body injury	FALSE	1181	0	4	01	2015	4	03	2015	172800	1427889600	1428062400	upper body	upper body	RYAN KESLER	1	914
"48"	Apr 03, 2016	Missed 1 game (illness).	HAMPUS	LINDHOLM	ANAHEIM	DUCKS	2016	4	03	1	TRUE	illness	FALSE	1190	0	4	01	2016	4	03	2016	172800	1459512000	1459684800	cold/virus	illness	HAMPUS LINDHOLM	1	364
"49"	Apr 03, 2016	Missed 3 games (lower body injury).	CARL	GUNNARSSON	ST. LOUIS	BLUES	2016	4	03	3	TRUE	lower body injury	FALSE	382	0	3	26	2016	4	03	2016	691200	1458993600	1459684800	lower body	lower body	CARL GUNNARSSON	1	16
"50"	Apr 03, 2017	Missed 2 games (foot injury).	ERIK	KARLSSON	OTTAWA	SENATORS	2017	4	03	2	TRUE	foot injury	FALSE	3482	0	3	30	2017	4	03	2017	345600	1490875200	1491220800	foot	foot	ERIK KARLSSON	1	3
"51"	Apr 04, 2009	Missed 4 games (right knee injury).	TREVOR	DALEY	DETROIT	REDWINGS	2009	4	04	4	TRUE	right knee injury	FALSE	3089	0	3	27	2009	4	04	2009	691200	1238155200	1238846400	knee	leg	TREVOR DALEY	1	3
"52"	Apr 04, 2009	Missed 5 games (ankle injury).	ANDY	GREENE	NEW JERSEY	DEVILS	2009	4	04	5	TRUE	ankle injury	FALSE	1729	0	3	27	2009	4	04	2009	691200	1238155200	1238846400	ankle	foot	ANDY GREENE	1	943
"53"	Apr 04, 2013	Missed 2 games (groin).	HENRIK	ZETTERBERG	DETROIT	REDWINGS	2013	4	04	2	TRUE	groin	FALSE	3242	0	3	31	2013	4	04	2013	345600	1364731200	1365076800	groin	lower body	HENRIK ZETTERBERG	1	243
"54"	Apr 04, 2013	Missed 3 games (bruised right hand).	MIKE	FISHER	NASHVILLE	PREDATORS	2013	4	04	3	TRUE	bruised right hand	FALSE	2877	0	3	30	2013	4	04	2013	432000	1364644800	1365076800	hand	arm/hand	MIKE FISHER	1	3
"55"	Apr 04, 2013	Missed 4 games (upper body injury).	ERIC	FEHR	SAN JOSE	SHARKS	2013	4	04	4	TRUE	upper body injury	FALSE	3576	0	3	26	2013	4	04	2013	777600	1364299200	1365076800	upper body	upper body	ERIC FEHR	1	652
"56"	Apr 04, 2014	Missed 15 games (lower body injury).	RYAN	MURRAY	COLUMBUS	BLUEJACKETS	2014	4	04	15	TRUE	lower body injury	FALSE	286	0	3	04	2014	4	04	2014	2678400	1393934400	1396612800	lower body	lower body	RYAN MURRAY	0	8
"57"	Apr 04, 2014	Missed 2 games (lower body injury).	JASON	SPEZZA	DALLAS	STARS	2014	4	04	2	TRUE	lower body injury	FALSE	3844	0	3	31	2014	4	04	2014	345600	1396267200	1396612800	lower body	lower body	JASON SPEZZA	1	672
"58"	Apr 04, 2014	Missed 3 games (sore neck).	ROBERTO	LUONGO	FLORIDA	PANTHERS	2014	4	04	3	TRUE	sore neck	FALSE	2560	0	3	28	2014	4	04	2014	604800	1396008000	1396612800	neck	head/neck/face	ROBERTO LUONGO	1	238
"59"	Apr 04, 2015	Missed 1 game (upper body injury).	SCOTTIE	UPSHALL	ST. LOUIS	BLUES	2015	4	04	1	TRUE	upper body injury	FALSE	483	0	4	02	2015	4	04	2015	172800	1427976000	1428148800	upper body	upper body	SCOTTIE UPSHALL	1	208
"60"	Apr 04, 2015	Missed 3 games (back injury).	JORDIE	BENN	MONTREAL	CANADIENS	2015	4	04	3	TRUE	back injury	FALSE	669	0	3	28	2015	4	04	2015	604800	1427544000	1428148800	back	mid body	JORDIE BENN	1	231
"61"	Apr 04, 2015	Missed 3 games (upper body injury).	TYLER	JOHNSON	TAMPA BAY	LIGHTNING	2015	4	04	3	TRUE	upper body injury	FALSE	2181	0	3	30	2015	4	04	2015	432000	1427716800	1428148800	upper body	upper body	TYLER JOHNSON	1	226
"62"	Apr 04, 2015	Missed 5 games (lower body injury).	MATT	CULLEN	MINNESOTA	WILD	2015	4	04	5	TRUE	lower body injury	FALSE	3881	0	3	24	2015	4	04	2015	950400	1427198400	1428148800	lower body	lower body	MATT CULLEN	1	654
"63"	Apr 04, 2015	Missed 9 games (upper body injury).	JAMES	NEAL	VEGAS	GOLDENKNIGHTS	2015	4	04	9	TRUE	upper body injury	FALSE	1419	0	3	14	2015	4	04	2015	1814400	1426334400	1428148800	upper body	upper body	JAMES NEAL	1	602
"64"	Apr 04, 2016	Missed 1 game (undisclosed).	JACOB	DE LA ROSE	MONTREAL	CANADIENS	2016	4	04	1	TRUE	undisclosed	FALSE	686	0	4	02	2016	4	04	2016	172800	1459598400	1459771200	undisclosed	undisclosed	JACOB DE LA ROSE	1	NA
"65"	Apr 04, 2016	Missed 7 games (upper body injury).	NIKITA	SOSHNIKOV	ST. LOUIS	BLUES	2016	4	04	7	TRUE	upper body injury	FALSE	427	0	3	20	2016	4	04	2016	1296000	1458475200	1459771200	upper body	upper body	NIKITA SOSHNIKOV	0	278
"66"	Apr 04, 2017	Missed 11 games (upper body injury).	JORI	LEHTERA	PHILADELPHIA	FLYERS	2017	4	04	11	TRUE	upper body injury	FALSE	1294	0	3	13	2017	4	04	2017	1900800	1489406400	1491307200	upper body	upper body	JORI LEHTERA	1	4
"67"	Apr 04, 2017	Missed 2 games (undisclosed).	JAMIE	OLEKSIAK	PITTSBURGH	PENGUINS	2017	4	04	2	TRUE	undisclosed	FALSE	2785	0	4	01	2017	4	04	2017	259200	1491048000	1491307200	undisclosed	undisclosed	JAMIE OLEKSIAK	1	NA
"68"	Apr 04, 2017	Missed 6 games (undisclosed).	OLIVER	BJORKSTRAND	COLUMBUS	BLUEJACKETS	2017	4	04	6	TRUE	undisclosed	FALSE	204	0	3	23	2017	4	04	2017	1036800	1490270400	1491307200	undisclosed	undisclosed	OLIVER BJORKSTRAND	0	NA
"69"	Apr 04, 2017	Missed 77 games (upper body injury).	MIIKKA	SALOMAKI	NASHVILLE	PREDATORS	2017	4	04	77	TRUE	upper body injury	FALSE	2932	0	10	18	2016	4	04	2017	14515200	1476792000	1491307200	upper body	upper body	MIIKKA SALOMAKI	1	38
"70"	Apr 05, 2006	Missed 9 games (sprained right ankle).	MIKE	FISHER	NASHVILLE	PREDATORS	2006	4	05	9	TRUE	sprained right ankle	FALSE	2866	0	3	16	2006	4	05	2006	1728000	1142510400	1144238400	ankle	foot	MIKE FISHER	1	267
"71"	Apr 05, 2007	Missed 18 games (lower body injury).	SCOTT	HARTNELL	NASHVILLE	PREDATORS	2007	4	05	18	TRUE	lower body injury	FALSE	2901	0	2	24	2007	4	05	2007	3456000	1172318400	1175774400	lower body	lower body	SCOTT HARTNELL	1	1015
"72"	Apr 05, 2007	Missed 4 games (shoulder injury).	SCOTTIE	UPSHALL	ST. LOUIS	BLUES	2007	4	05	4	TRUE	shoulder injury	FALSE	467	0	3	28	2007	4	05	2007	691200	1175083200	1175774400	shoulder	upper body	SCOTTIE UPSHALL	1	176
"73"	Apr 05, 2008	Missed the last 2 games of the regular season (back injury).	JUSTIN	WILLIAMS	CAROLINA	HURRICANES	2008	4	05	2	TRUE	back injury	TRUE	1533	0	4	02	2008	4	05	2008	259200	1207137600	1207396800	back	mid body	JUSTIN WILLIAMS	1	165
"74"	Apr 05, 2008	Missed the last 7 games of the regular season (fractured right foot).	JACK	JOHNSON	COLUMBUS	BLUEJACKETS	2008	4	05	7	TRUE	fractured right foot	TRUE	269	0	3	22	2008	4	05	2008	1209600	1206187200	1207396800	foot	foot	JACK JOHNSON	0	191
"75"	Apr 05, 2008	Missed the last game of the regular season (broken finger).	KYLE	BRODZIAK	ST. LOUIS	BLUES	2008	4	05	1	TRUE	broken finger	TRUE	360	0	4	03	2008	4	05	2008	172800	1207224000	1207396800	finger	arm/hand	KYLE BRODZIAK	0	1055
"76"	Apr 05, 2012	Missed 2 games (facial injury).	JEFF	PETRY	MONTREAL	CANADIENS	2012	4	05	2	TRUE	facial injury	FALSE	729	0	4	1	2012	4	05	2012	345600	1333281600	1333627200	face	head/neck/face	JEFF PETRY	0	614
"77"	Apr 05, 2012	Missed 3 games (head injury).	ADAM	MCQUAID	BOSTON	BRUINS	2012	4	05	3	TRUE	head injury	FALSE	596	0	3	31	2012	4	05	2012	432000	1333195200	1333627200	head	head/neck/face	ADAM MCQUAID	1	7
"78"	Apr 05, 2012	Missed 4 games (lower body injury).	BEN	BISHOP	DALLAS	STARS	2012	4	05	4	TRUE	lower body injury	FALSE	3686	0	3	26	2012	4	05	2012	864000	1332763200	1333627200	lower body	lower body	BEN BISHOP	1	555
"79"	Apr 05, 2012	Missed 4 games (undisclosed).	KEVIN	BIEKSA	ANAHEIM	DUCKS	2012	4	05	4	TRUE	undisclosed	FALSE	1084	0	3	30	2012	4	05	2012	518400	1333108800	1333627200	undisclosed	undisclosed	KEVIN BIEKSA	1	325
"80"	Apr 05, 2013	Missed 18 games (sprained right ankle).	CRAIG	ANDERSON	OTTAWA	SENATORS	2013	4	05	18	TRUE	sprained right ankle	FALSE	3387	0	2	23	2013	4	05	2013	3542400	1361620800	1365163200	ankle	foot	CRAIG ANDERSON	1	214
"81"	Apr 05, 2014	Missed 1 game (upper body injury).	NINO	NIEDERREITER	MINNESOTA	WILD	2014	4	05	1	TRUE	upper body injury	FALSE	3936	0	4	03	2014	4	05	2014	172800	1396526400	1396699200	upper body	upper body	NINO NIEDERREITER	1	334
"82"	Apr 05, 2014	Missed 3 games (undisclosed).	JON	MERRILL	VEGAS	GOLDENKNIGHTS	2014	4	05	3	TRUE	undisclosed	FALSE	1396	0	3	31	2014	4	05	2014	432000	1396267200	1396699200	undisclosed	undisclosed	JON MERRILL	1	213
"83"	Apr 05, 2014	Missed 4 games (leg injury).	HENRIK	SEDIN	VANCOUVER	CANUCKS	2014	4	05	4	TRUE	leg injury	FALSE	847	0	3	25	2014	4	05	2014	950400	1395748800	1396699200	leg	leg	HENRIK SEDIN	1	622
"84"	Apr 05, 2014	Missed 5 games (concussion).	SETH	JONES	COLUMBUS	BLUEJACKETS	2014	4	05	5	TRUE	concussion	FALSE	276	0	3	25	2014	4	05	2014	950400	1395748800	1396699200	concussion	concussion	SETH JONES	0	947
"85"	Apr 05, 2014	Missed 9 games (concussion).	MICHAEL	GRABNER	NEW JERSEY	DEVILS	2014	4	05	9	TRUE	concussion	FALSE	1721	0	3	14	2014	4	05	2014	1900800	1394798400	1396699200	concussion	concussion	MICHAEL GRABNER	1	1
"86"	Apr 05, 2015	Missed 10 games (lower body injury).	PETER	HOLLAND	NEW YORK	RANGERS	2015	4	05	10	TRUE	lower body injury	FALSE	2980	0	3	14	2015	4	05	2015	1900800	1426334400	1428235200	lower body	lower body	PETER HOLLAND	1	349
"87"	Apr 05, 2015	Missed 2 games (lower body injury).	EVGENI	MALKIN	PITTSBURGH	PENGUINS	2015	4	05	2	TRUE	lower body injury	FALSE	2771	0	4	01	2015	4	05	2015	345600	1427889600	1428235200	lower body	lower body	EVGENI MALKIN	1	305
"88"	Apr 05, 2016	Missed 1 game (concussion).	NIKITA	ZADOROV	COLORADO	AVALANCHE	2016	4	05	1	TRUE	concussion	FALSE	115	0	4	02	2016	4	05	2016	259200	1459598400	1459857600	concussion	concussion	NIKITA ZADOROV	1	321
"89"	Apr 05, 2016	Missed 1 game (leg injury).	KEVAN	MILLER	BOSTON	BRUINS	2016	4	05	1	TRUE	leg injury	FALSE	615	0	4	03	2016	4	05	2016	172800	1459684800	1459857600	leg	leg	KEVAN MILLER	1	189
"90"	Apr 05, 2016	Missed 2 games (lower body injury).	JARED	SPURGEON	MINNESOTA	WILD	2016	4	05	2	TRUE	lower body injury	FALSE	3974	0	4	01	2016	4	05	2016	345600	1459512000	1459857600	lower body	lower body	JARED SPURGEON	1	200
"91"	Apr 05, 2016	Missed 2 games (upper body injury).	RYAN	ELLIS	NASHVILLE	PREDATORS	2016	4	05	2	TRUE	upper body injury	FALSE	2839	0	3	31	2016	4	05	2016	432000	1459425600	1459857600	upper body	upper body	RYAN ELLIS	1	234
"92"	Apr 05, 2017	Missed 2 games (flu).	TORREY	MITCHELL	LOS ANGELES	KINGS	2017	4	05	2	TRUE	flu	FALSE	2064	0	4	01	2017	4	05	2017	345600	1491048000	1491393600	cold/virus	illness	TORREY MITCHELL	1	223
"93"	Apr 05, 2017	Missed 2 games (upper body injury).	SAMI	VATANEN	NEW JERSEY	DEVILS	2017	4	05	2	TRUE	upper body injury	FALSE	1828	0	4	02	2017	4	05	2017	259200	1491134400	1491393600	upper body	upper body	SAMI VATANEN	1	10
"94"	Apr 06, 2003	Missed 36 games (sprained left knee).	JUSTIN	WILLIAMS	CAROLINA	HURRICANES	2003	4	06	36	TRUE	sprained left knee	FALSE	1529	0	1	18	2003	4	06	2003	6739200	1042891200	1049630400	knee	leg	JUSTIN WILLIAMS	1	313
"95"	Apr 06, 2003	Missed the last 31 games of the regular season (post concussion).	MICHAEL	CAMMALLERI	EDMONTON	OILERS	2003	4	06	31	TRUE	post concussion	TRUE	2387	0	1	30	2003	4	06	2003	5702400	1043928000	1049630400	concussion	concussion	MICHAEL CAMMALLERI	0	1402
"96"	Apr 06, 2010	Missed 4 games (right leg injury).	RYAN	CALLAHAN	TAMPA BAY	LIGHTNING	2010	4	06	4	TRUE	right leg injury	FALSE	2108	0	3	27	2010	4	06	2010	864000	1269691200	1270555200	leg	leg	RYAN CALLAHAN	1	213
"97"	Apr 06, 2011	Missed 19 games (right knee injury).	TAYLOR	CHORNEY	COLUMBUS	BLUEJACKETS	2011	4	06	19	TRUE	right knee injury	FALSE	228	0	2	25	2011	4	06	2011	3456000	1298635200	1302091200	knee	leg	TAYLOR CHORNEY	0	186
"98"	Apr 06, 2011	Missed 7 games (left knee injury).	PATRICK	SHARP	CHICAGO	BLACKHAWKS	2011	4	06	7	TRUE	left knee injury	FALSE	180	0	3	23	2011	4	06	2011	1209600	1300881600	1302091200	knee	leg	PATRICK SHARP	1	278
"99"	Apr 06, 2013	Missed 1 game (groin).	TOMAS	PLEKANEC	TORONTO	MAPLELEAFS	2013	4	06	1	TRUE	groin	FALSE	2348	0	4	04	2013	4	06	2013	172800	1365076800	1365249600	groin	lower body	TOMAS PLEKANEC	1	1431
"100"	Apr 06, 2013	Missed 1 game (personal reasons).	MARK	GIORDANO	CALGARY	FLAMES	2013	4	6	1	TRUE	personal reasons	FALSE	64	0	4	5	2013	4	6	2013	1	1365163200	1365249600	personal	other	MARK GIORDANO	1	203
