"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"year"	"month"	"day"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"	"InjuryIndicator"	"InjuryStateDate"	"YearsSince2000"
"1385"	Feb 05, 2012	Missed 3 games (groin).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2012	2	05	3	TRUE	groin	FALSE	11	0	1	25	2012	2	05	2012	950400	1327492800	1328443200	lower body	lower body	ADAM HENRIQUE	1	349	1	1327492800	12.0739726027397
"1385.1"	Feb 05, 2012	Missed 3 games (groin).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2012	2	05	3	TRUE	groin	FALSE	12	0	1	25	2012	2	05	2012	950400	1327492800	1328443200	NA	NA	ADAM HENRIQUE	1	349	2	1328443200	12.1041095890411
"2426"	Jan 31, 2013	Missed 5 games (thumb injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2013	1	31	5	TRUE	thumb injury	FALSE	13	0	1	19	2013	1	31	2013	1036800	1358596800	1359633600	arm/hand	arm/hand	ADAM HENRIQUE	1	429	1	1358596800	13.0602739726027
"2426.1"	Jan 31, 2013	Missed 5 games (thumb injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2013	1	31	5	TRUE	thumb injury	FALSE	14	0	1	19	2013	1	31	2013	1036800	1358596800	1359633600	NA	NA	ADAM HENRIQUE	1	429	2	1359633600	13.0931506849315
"437"	Apr 13, 2014	Missed the last 5 regular season games (undisclosed).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2014	4	13	5	TRUE	undisclosed	TRUE	15	0	4	05	2014	4	13	2014	691200	1396699200	1397390400	undisclosed	undisclosed	ADAM HENRIQUE	1	207	1	1396699200	14.2684931506849
"437.1"	Apr 13, 2014	Missed the last 5 regular season games (undisclosed).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2014	4	13	5	TRUE	undisclosed	TRUE	16	0	4	05	2014	4	13	2014	691200	1396699200	1397390400	NA	NA	ADAM HENRIQUE	1	207	2	1397390400	14.2904109589041
"3575"	Nov 18, 2014	Missed 6 games (lower body injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2014	11	18	6	TRUE	lower body injury	FALSE	17	0	11	06	2014	11	18	2014	1036800	1415275200	1416312000	lower body	lower body	ADAM HENRIQUE	1	11	1	1415275200	14.8575342465753
"3575.1"	Nov 18, 2014	Missed 6 games (lower body injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2014	11	18	6	TRUE	lower body injury	FALSE	18	0	11	06	2014	11	18	2014	1036800	1415275200	1416312000	NA	NA	ADAM HENRIQUE	1	11	2	1416312000	14.8904109589041
"703"	Dec 02, 2014	Missed 1 game (upper body injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2014	12	02	1	TRUE	upper body injury	FALSE	19	0	11	29	2014	12	02	2014	259200	1417262400	1417521600	upper body	upper body	ADAM HENRIQUE	1	373	1	1417262400	14.9205479452055
"703.1"	Dec 02, 2014	Missed 1 game (upper body injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2014	12	02	1	TRUE	upper body injury	FALSE	20	0	11	29	2014	12	02	2014	259200	1417262400	1417521600	NA	NA	ADAM HENRIQUE	1	373	2	1417521600	14.9287671232877
"946"	Dec 15, 2015	Missed 2 games (lower body injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2015	12	15	2	TRUE	lower body injury	FALSE	21	0	12	10	2015	12	15	2015	432000	1449748800	1450180800	lower body	lower body	ADAM HENRIQUE	1	NA	1	1449748800	15.9506849315068
"946.1"	Dec 15, 2015	Missed 2 games (lower body injury).	ADAM	HENRIQUE	ANAHEIM	DUCKS	2015	12	15	2	TRUE	lower body injury	FALSE	22	0	12	10	2015	12	15	2015	432000	1449748800	1450180800	NA	NA	ADAM HENRIQUE	1	NA	2	1450180800	15.9643835616438
"1744"	Feb 26, 2012	Missed 10 games (back injury).	ADAM	LARSSON	EDMONTON	OILERS	2012	2	26	10	TRUE	back injury	FALSE	23	0	2	04	2012	2	26	2012	1900800	1328356800	1330257600	mid body	mid body	ADAM LARSSON	0	638	1	1328356800	12.1013698630137
"1744.1"	Feb 26, 2012	Missed 10 games (back injury).	ADAM	LARSSON	EDMONTON	OILERS	2012	2	26	10	TRUE	back injury	FALSE	24	0	2	04	2012	2	26	2012	1900800	1328356800	1330257600	NA	NA	ADAM LARSSON	0	638	2	1330257600	12.1616438356164
"1987"	Jan 09, 2014	Missed 21 games (lower body injury).	ADAM	LARSSON	EDMONTON	OILERS	2014	1	09	21	TRUE	lower body injury	FALSE	25	0	11	25	2013	1	09	2014	3888000	1385380800	1389268800	lower body	lower body	ADAM LARSSON	1	329	1	1385380800	13.9095890410959
"1987.1"	Jan 09, 2014	Missed 21 games (lower body injury).	ADAM	LARSSON	EDMONTON	OILERS	2014	1	09	21	TRUE	lower body injury	FALSE	26	0	11	25	2013	1	09	2014	3888000	1385380800	1389268800	NA	NA	ADAM LARSSON	1	329	2	1389268800	14.0328767123288
"1040"	Dec 19, 2014	Missed 8 games (illness).	ADAM	LARSSON	EDMONTON	OILERS	2014	12	19	8	TRUE	illness	FALSE	27	0	12	04	2014	12	19	2014	1296000	1417694400	1418990400	illness	illness	ADAM LARSSON	1	796	1	1417694400	14.9342465753425
"1040.1"	Dec 19, 2014	Missed 8 games (illness).	ADAM	LARSSON	EDMONTON	OILERS	2014	12	19	8	TRUE	illness	FALSE	28	0	12	04	2014	12	19	2014	1296000	1417694400	1418990400	NA	NA	ADAM LARSSON	1	796	2	1418990400	14.9753424657534
"1758"	Feb 26, 2017	Missed 2 games (lower body injury).	ADAM	LARSSON	EDMONTON	OILERS	2017	2	26	2	TRUE	lower body injury	FALSE	29	0	2	22	2017	2	26	2017	345600	1487764800	1488110400	lower body	lower body	ADAM LARSSON	1	277	1	1487764800	17.1561643835616
"1758.1"	Feb 26, 2017	Missed 2 games (lower body injury).	ADAM	LARSSON	EDMONTON	OILERS	2017	2	26	2	TRUE	lower body injury	FALSE	30	0	2	22	2017	2	26	2017	345600	1487764800	1488110400	NA	NA	ADAM LARSSON	1	277	2	1488110400	17.1671232876712
"1020"	Dec 18, 2017	Missed 8 games (upper body injury).	ADAM	LARSSON	EDMONTON	OILERS	2017	12	18	8	TRUE	upper body injury	FALSE	31	0	11	30	2017	12	18	2017	1555200	1512043200	1513598400	upper body	upper body	ADAM LARSSON	1	NA	1	1512043200	17.9260273972603
"1020.1"	Dec 18, 2017	Missed 8 games (upper body injury).	ADAM	LARSSON	EDMONTON	OILERS	2017	12	18	8	TRUE	upper body injury	FALSE	32	0	11	30	2017	12	18	2017	1555200	1512043200	1513598400	NA	NA	ADAM LARSSON	1	NA	2	1513598400	17.9753424657534
"3180"	May 14, 2010	Missed the last 4 playoff games (lower body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2010	5	14	4	TRUE	lower body injury	TRUE	33	0	5	07	2010	5	14	2010	604800	1273233600	1273838400	lower body	lower body	ADAM MCQUAID	0	241	1	1273233600	10.3534246575342
"3180.1"	May 14, 2010	Missed the last 4 playoff games (lower body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2010	5	14	4	TRUE	lower body injury	TRUE	34	0	5	07	2010	5	14	2010	604800	1273233600	1273838400	NA	NA	ADAM MCQUAID	0	241	2	1273838400	10.372602739726
"2021"	Jan 11, 2011	Missed 1 game (undisclosed).	ADAM	MCQUAID	BOSTON	BRUINS	2011	1	11	1	TRUE	undisclosed	FALSE	35	0	1	10	2011	1	11	2011	86400	1294660800	1294747200	undisclosed	undisclosed	ADAM MCQUAID	1	113	1	1294660800	11.0328767123288
"2021.1"	Jan 11, 2011	Missed 1 game (undisclosed).	ADAM	MCQUAID	BOSTON	BRUINS	2011	1	11	1	TRUE	undisclosed	FALSE	36	0	1	10	2011	1	11	2011	86400	1294660800	1294747200	NA	NA	ADAM MCQUAID	1	113	2	1294747200	11.0356164383562
"3182"	May 14, 2011	Missed the last 2 playoff games (sprained neck).	ADAM	MCQUAID	BOSTON	BRUINS	2011	5	14	2	TRUE	sprained neck	TRUE	37	0	5	04	2011	5	14	2011	864000	1304510400	1305374400	head/neck/face	head/neck/face	ADAM MCQUAID	1	145	1	1304510400	11.3452054794521
"3182.1"	May 14, 2011	Missed the last 2 playoff games (sprained neck).	ADAM	MCQUAID	BOSTON	BRUINS	2011	5	14	2	TRUE	sprained neck	TRUE	38	0	5	04	2011	5	14	2011	864000	1304510400	1305374400	NA	NA	ADAM MCQUAID	1	145	2	1305374400	11.372602739726
"3824"	Oct 08, 2011	Missed 1 game (illness).	ADAM	MCQUAID	BOSTON	BRUINS	2011	10	08	1	TRUE	illness	FALSE	39	0	10	06	2011	10	08	2011	172800	1317902400	1318075200	illness	illness	ADAM MCQUAID	1	10	1	1317902400	11.7698630136986
"3824.1"	Oct 08, 2011	Missed 1 game (illness).	ADAM	MCQUAID	BOSTON	BRUINS	2011	10	08	1	TRUE	illness	FALSE	40	0	10	06	2011	10	08	2011	172800	1317902400	1318075200	NA	NA	ADAM MCQUAID	1	10	2	1318075200	11.7753424657534
"4044"	Oct 27, 2011	Missed 3 games (head injury).	ADAM	MCQUAID	BOSTON	BRUINS	2011	10	27	3	TRUE	head injury	FALSE	41	0	10	18	2011	10	27	2011	777600	1318939200	1319716800	head/neck/face	head/neck/face	ADAM MCQUAID	1	138	1	1318939200	11.8027397260274
"4044.1"	Oct 27, 2011	Missed 3 games (head injury).	ADAM	MCQUAID	BOSTON	BRUINS	2011	10	27	3	TRUE	head injury	FALSE	42	0	10	18	2011	10	27	2011	777600	1318939200	1319716800	NA	NA	ADAM MCQUAID	1	138	2	1319716800	11.827397260274
"2738"	Mar 15, 2012	Missed 1 game (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2012	3	15	1	TRUE	upper body injury	FALSE	43	0	3	13	2012	3	15	2012	172800	1331640000	1331812800	upper body	upper body	ADAM MCQUAID	1	16	1	1331640000	12.2054794520548
"2738.1"	Mar 15, 2012	Missed 1 game (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2012	3	15	1	TRUE	upper body injury	FALSE	44	0	3	13	2012	3	15	2012	172800	1331640000	1331812800	NA	NA	ADAM MCQUAID	1	16	2	1331812800	12.2109589041096
"77"	Apr 05, 2012	Missed 3 games (head injury).	ADAM	MCQUAID	BOSTON	BRUINS	2012	4	05	3	TRUE	head injury	FALSE	45	0	3	31	2012	4	05	2012	432000	1333195200	1333627200	head/neck/face	head/neck/face	ADAM MCQUAID	1	7	1	1333195200	12.2547945205479
"77.1"	Apr 05, 2012	Missed 3 games (head injury).	ADAM	MCQUAID	BOSTON	BRUINS	2012	4	05	3	TRUE	head injury	FALSE	46	0	3	31	2012	4	05	2012	432000	1333195200	1333627200	NA	NA	ADAM MCQUAID	1	7	2	1333627200	12.2684931506849
"611"	Apr 25, 2012	Missed the last 7 playoff games (head injury).	ADAM	MCQUAID	BOSTON	BRUINS	2012	4	25	7	TRUE	head injury	TRUE	47	0	4	12	2012	4	25	2012	1123200	1334232000	1335355200	head/neck/face	head/neck/face	ADAM MCQUAID	1	323	1	1334232000	12.2876712328767
"611.1"	Apr 25, 2012	Missed the last 7 playoff games (head injury).	ADAM	MCQUAID	BOSTON	BRUINS	2012	4	25	7	TRUE	head injury	TRUE	48	0	4	12	2012	4	25	2012	1123200	1334232000	1335355200	NA	NA	ADAM MCQUAID	1	323	2	1335355200	12.3232876712329
"2764"	Mar 16, 2013	Missed 1 game (undisclosed).	ADAM	MCQUAID	BOSTON	BRUINS	2013	3	16	1	TRUE	undisclosed	FALSE	49	0	3	14	2013	3	16	2013	172800	1363262400	1363435200	undisclosed	undisclosed	ADAM MCQUAID	1	5	1	1363262400	13.2082191780822
"2764.1"	Mar 16, 2013	Missed 1 game (undisclosed).	ADAM	MCQUAID	BOSTON	BRUINS	2013	3	16	1	TRUE	undisclosed	FALSE	50	0	3	14	2013	3	16	2013	172800	1363262400	1363435200	NA	NA	ADAM MCQUAID	1	5	2	1363435200	13.213698630137
"344"	Apr 11, 2013	Missed 11 games (shoulder injury).	ADAM	MCQUAID	BOSTON	BRUINS	2013	4	11	11	TRUE	shoulder injury	FALSE	51	0	3	21	2013	4	11	2013	1814400	1363867200	1365681600	upper body	upper body	ADAM MCQUAID	1	10	1	1363867200	13.227397260274
"344.1"	Apr 11, 2013	Missed 11 games (shoulder injury).	ADAM	MCQUAID	BOSTON	BRUINS	2013	4	11	11	TRUE	shoulder injury	FALSE	52	0	3	21	2013	4	11	2013	1814400	1363867200	1365681600	NA	NA	ADAM MCQUAID	1	10	2	1365681600	13.2849315068493
"580"	Apr 23, 2013	Missed 1 game (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2013	4	23	1	TRUE	upper body injury	FALSE	53	0	4	21	2013	4	23	2013	172800	1366545600	1366718400	upper body	upper body	ADAM MCQUAID	1	202	1	1366545600	13.3123287671233
"580.1"	Apr 23, 2013	Missed 1 game (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2013	4	23	1	TRUE	upper body injury	FALSE	54	0	4	21	2013	4	23	2013	172800	1366545600	1366718400	NA	NA	ADAM MCQUAID	1	202	2	1366718400	13.3178082191781
"3749"	Nov 27, 2013	Missed 8 games (groin).	ADAM	MCQUAID	BOSTON	BRUINS	2013	11	27	8	TRUE	groin	FALSE	55	0	11	11	2013	11	27	2013	1382400	1384171200	1385553600	lower body	lower body	ADAM MCQUAID	1	7	1	1384171200	13.8712328767123
"3749.1"	Nov 27, 2013	Missed 8 games (groin).	ADAM	MCQUAID	BOSTON	BRUINS	2013	11	27	8	TRUE	groin	FALSE	56	0	11	11	2013	11	27	2013	1382400	1384171200	1385553600	NA	NA	ADAM MCQUAID	1	7	2	1385553600	13.9150684931507
"1113"	Dec 23, 2013	Missed 9 games (lower body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2013	12	23	9	TRUE	lower body injury	FALSE	57	0	12	04	2013	12	23	2013	1641600	1386158400	1387800000	lower body	lower body	ADAM MCQUAID	1	28	1	1386158400	13.9342465753425
"1113.1"	Dec 23, 2013	Missed 9 games (lower body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2013	12	23	9	TRUE	lower body injury	FALSE	58	0	12	04	2013	12	23	2013	1641600	1386158400	1387800000	NA	NA	ADAM MCQUAID	1	28	2	1387800000	13.986301369863
"3184"	May 14, 2014	Missed the last 34 regular season and first 12 playoff games (lower body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2014	5	14	46	TRUE	lower body injury	TRUE	59	0	1	20	2014	5	14	2014	9849600	1390219200	1400068800	lower body	lower body	ADAM MCQUAID	1	189	1	1390219200	14.0630136986301
"3184.1"	May 14, 2014	Missed the last 34 regular season and first 12 playoff games (lower body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2014	5	14	46	TRUE	lower body injury	TRUE	60	0	1	20	2014	5	14	2014	9849600	1390219200	1400068800	NA	NA	ADAM MCQUAID	1	189	2	1400068800	14.3753424657534
"1873"	Jan 03, 2015	Missed 18 games (broken thumb).	ADAM	MCQUAID	BOSTON	BRUINS	2015	1	03	18	TRUE	broken thumb	FALSE	61	0	11	19	2014	1	03	2015	3888000	1416398400	1420286400	arm/hand	arm/hand	ADAM MCQUAID	1	368	1	1416398400	14.8931506849315
"1873.1"	Jan 03, 2015	Missed 18 games (broken thumb).	ADAM	MCQUAID	BOSTON	BRUINS	2015	1	03	18	TRUE	broken thumb	FALSE	62	0	11	19	2014	1	03	2015	3888000	1416398400	1420286400	NA	NA	ADAM MCQUAID	1	368	2	1420286400	15.0164383561644
"1568"	Feb 16, 2016	Missed 18 games (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2016	2	16	18	TRUE	upper body injury	FALSE	63	0	1	06	2016	2	16	2016	3542400	1452081600	1455624000	upper body	upper body	ADAM MCQUAID	1	238	1	1452081600	16.0246575342466
"1568.1"	Feb 16, 2016	Missed 18 games (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2016	2	16	18	TRUE	upper body injury	FALSE	64	0	1	06	2016	2	16	2016	3542400	1452081600	1455624000	NA	NA	ADAM MCQUAID	1	238	2	1455624000	16.1369863013699
"4018"	Oct 25, 2016	Missed 5 games (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2016	10	25	5	TRUE	upper body injury	FALSE	65	0	10	11	2016	10	25	2016	1209600	1476187200	1477396800	upper body	upper body	ADAM MCQUAID	1	174	1	1476187200	16.7890410958904
"4018.1"	Oct 25, 2016	Missed 5 games (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2016	10	25	5	TRUE	upper body injury	FALSE	66	0	10	11	2016	10	25	2016	1209600	1476187200	1477396800	NA	NA	ADAM MCQUAID	1	174	2	1477396800	16.827397260274
"591"	Apr 23, 2017	Missed the last 4 playoff games (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2017	4	23	4	TRUE	upper body injury	TRUE	67	0	4	17	2017	4	23	2017	518400	1492430400	1492948800	upper body	upper body	ADAM MCQUAID	1	180	1	1492430400	17.3041095890411
"591.1"	Apr 23, 2017	Missed the last 4 playoff games (upper body injury).	ADAM	MCQUAID	BOSTON	BRUINS	2017	4	23	4	TRUE	upper body injury	TRUE	68	0	4	17	2017	4	23	2017	518400	1492430400	1492948800	NA	NA	ADAM MCQUAID	1	180	2	1492948800	17.3205479452055
"2161"	Jan 17, 2018	Missed 36 games (broken right fibula).	ADAM	MCQUAID	BOSTON	BRUINS	2018	1	17	36	TRUE	broken right fibula	FALSE	69	0	10	20	2017	1	17	2018	7689600	1508500800	1516190400	leg	leg	ADAM MCQUAID	1	NA	1	1508500800	17.813698630137
"2161.1"	Jan 17, 2018	Missed 36 games (broken right fibula).	ADAM	MCQUAID	BOSTON	BRUINS	2018	1	17	36	TRUE	broken right fibula	FALSE	70	0	10	20	2017	1	17	2018	7689600	1508500800	1516190400	NA	NA	ADAM MCQUAID	1	NA	2	1516190400	18.0575342465753
"217"	Apr 09, 2016	Missed 36 games (upper body injury).	ADAM	PELECH	NEW YORK	ISLANDERS	2016	4	09	36	TRUE	upper body injury	FALSE	71	0	1	17	2016	4	09	2016	7171200	1453032000	1460203200	upper body	upper body	ADAM PELECH	0	235	1	1453032000	16.0547945205479
"217.1"	Apr 09, 2016	Missed 36 games (upper body injury).	ADAM	PELECH	NEW YORK	ISLANDERS	2016	4	09	36	TRUE	upper body injury	FALSE	72	0	1	17	2016	4	09	2016	7171200	1453032000	1460203200	NA	NA	ADAM PELECH	0	235	2	1460203200	16.2821917808219
"1275"	Dec 31, 2016	Missed 14 games (upper body injury).	ADAM	PELECH	NEW YORK	ISLANDERS	2016	12	31	14	TRUE	upper body injury	FALSE	73	0	11	30	2016	12	31	2016	2678400	1480507200	1483185600	upper body	upper body	ADAM PELECH	1	306	1	1480507200	16.9260273972603
"1275.1"	Dec 31, 2016	Missed 14 games (upper body injury).	ADAM	PELECH	NEW YORK	ISLANDERS	2016	12	31	14	TRUE	upper body injury	FALSE	74	0	11	30	2016	12	31	2016	2678400	1480507200	1483185600	NA	NA	ADAM PELECH	1	306	2	1483185600	17.0109589041096
"3447"	Nov 11, 2017	Missed 4 games (undisclosed).	ADAM	PELECH	NEW YORK	ISLANDERS	2017	11	11	4	TRUE	undisclosed	FALSE	75	0	11	02	2017	11	11	2017	777600	1509624000	1510401600	undisclosed	undisclosed	ADAM PELECH	1	NA	1	1509624000	17.8493150684932
"3447.1"	Nov 11, 2017	Missed 4 games (undisclosed).	ADAM	PELECH	NEW YORK	ISLANDERS	2017	11	11	4	TRUE	undisclosed	FALSE	76	0	11	02	2017	11	11	2017	777600	1509624000	1510401600	NA	NA	ADAM PELECH	1	NA	2	1510401600	17.8739726027397
"3472"	Nov 12, 2017	Missed 1 game (illness).	ADRIAN	KEMPE	LOS ANGELES	KINGS	2017	11	12	1	TRUE	illness	FALSE	77	0	11	09	2017	11	12	2017	259200	1510228800	1510488000	illness	illness	ADRIAN KEMPE	0	NA	1	1510228800	17.8684931506849
"3472.1"	Nov 12, 2017	Missed 1 game (illness).	ADRIAN	KEMPE	LOS ANGELES	KINGS	2017	11	12	1	TRUE	illness	FALSE	78	0	11	09	2017	11	12	2017	259200	1510228800	1510488000	NA	NA	ADRIAN KEMPE	0	NA	2	1510488000	17.8767123287671
"3709"	Nov 25, 2011	Missed 3 games (hamstring).	AL	MONTOYA	EDMONTON	OILERS	2011	11	25	3	TRUE	hamstring	FALSE	79	0	11	19	2011	11	25	2011	518400	1321704000	1322222400	leg	leg	AL MONTOYA	0	27	1	1321704000	11.8904109589041
"3709.1"	Nov 25, 2011	Missed 3 games (hamstring).	AL	MONTOYA	EDMONTON	OILERS	2011	11	25	3	TRUE	hamstring	FALSE	80	0	11	19	2011	11	25	2011	518400	1321704000	1322222400	NA	NA	AL MONTOYA	0	27	2	1322222400	11.9068493150685
"2144"	Jan 17, 2012	Missed 12 games (concussion).	AL	MONTOYA	EDMONTON	OILERS	2012	1	17	12	TRUE	concussion	FALSE	81	0	12	22	2011	1	17	2012	2246400	1324555200	1326801600	concussion	concussion	AL MONTOYA	1	44	1	1324555200	11.9808219178082
"2144.1"	Jan 17, 2012	Missed 12 games (concussion).	AL	MONTOYA	EDMONTON	OILERS	2012	1	17	12	TRUE	concussion	FALSE	82	0	12	22	2011	1	17	2012	2246400	1324555200	1326801600	NA	NA	AL MONTOYA	1	44	2	1326801600	12.0520547945205
"2700"	Mar 13, 2012	Missed 6 games (upper body injury).	AL	MONTOYA	EDMONTON	OILERS	2012	3	13	6	TRUE	upper body injury	FALSE	83	0	3	01	2012	3	13	2012	1036800	1330603200	1331640000	upper body	upper body	AL MONTOYA	1	337	1	1330603200	12.172602739726
"2700.1"	Mar 13, 2012	Missed 6 games (upper body injury).	AL	MONTOYA	EDMONTON	OILERS	2012	3	13	6	TRUE	upper body injury	FALSE	84	0	3	01	2012	3	13	2012	1036800	1330603200	1331640000	NA	NA	AL MONTOYA	1	337	2	1331640000	12.2054794520548
"1765"	Feb 27, 2013	Missed 7 games (lower body injury).	AL	MONTOYA	EDMONTON	OILERS	2013	2	27	7	TRUE	lower body injury	FALSE	85	0	2	13	2013	2	27	2013	1209600	1360756800	1361966400	lower body	lower body	AL MONTOYA	1	15	1	1360756800	13.1287671232877
"1765.1"	Feb 27, 2013	Missed 7 games (lower body injury).	AL	MONTOYA	EDMONTON	OILERS	2013	2	27	7	TRUE	lower body injury	FALSE	86	0	2	13	2013	2	27	2013	1209600	1360756800	1361966400	NA	NA	AL MONTOYA	1	15	2	1361966400	13.1671232876712
"2886"	Mar 21, 2013	Missed 4 games (lower body injury).	AL	MONTOYA	EDMONTON	OILERS	2013	3	21	4	TRUE	lower body injury	FALSE	87	0	3	14	2013	3	21	2013	604800	1363262400	1363867200	lower body	lower body	AL MONTOYA	1	375	1	1363262400	13.2082191780822
"2886.1"	Mar 21, 2013	Missed 4 games (lower body injury).	AL	MONTOYA	EDMONTON	OILERS	2013	3	21	4	TRUE	lower body injury	FALSE	88	0	3	14	2013	3	21	2013	604800	1363262400	1363867200	NA	NA	AL MONTOYA	1	375	2	1363867200	13.227397260274
"347"	Apr 11, 2014	Missed 7 games (lower body injury).	AL	MONTOYA	EDMONTON	OILERS	2014	4	11	7	TRUE	lower body injury	FALSE	89	0	3	31	2014	4	11	2014	950400	1396267200	1397217600	lower body	lower body	AL MONTOYA	1	327	1	1396267200	14.2547945205479
"347.1"	Apr 11, 2014	Missed 7 games (lower body injury).	AL	MONTOYA	EDMONTON	OILERS	2014	4	11	7	TRUE	lower body injury	FALSE	90	0	3	31	2014	4	11	2014	950400	1396267200	1397217600	NA	NA	AL MONTOYA	1	327	2	1397217600	14.2849315068493
"211"	Apr 09, 2015	Missed 16 games (upper body injury).	AL	MONTOYA	EDMONTON	OILERS	2015	4	09	16	TRUE	upper body injury	FALSE	91	0	3	04	2015	4	09	2015	3110400	1425470400	1428580800	upper body	upper body	AL MONTOYA	1	327	1	1425470400	15.1808219178082
