"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"
"1143"	Apr 12, 2009	Missed the last 3 games of the regular season (broken wrist).	BLAKE	COMEAU	COLORADO	AVALANCHE	3	TRUE	broken wrist	TRUE	15	0	4	12	2009	4	12	2009	0	1239537600	1239537600	wrist	arm/hand	BLAKE COMEAU	0	174
"17059"	Oct 08, 2009	Missed 1 game (illness).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	illness	FALSE	16	0	10	03	2009	10	08	2009	5	1254571200	1255003200	cold/virus	illness	BLAKE COMEAU	1	34
"14992"	Nov 13, 2009	Missed 1 game (illness).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	illness	FALSE	17	0	11	11	2009	11	13	2009	2	1257940800	1258113600	cold/virus	illness	BLAKE COMEAU	1	116
"12054"	Mar 11, 2010	Missed 1 game (facial injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	facial injury	FALSE	18	0	3	09	2010	3	11	2010	2	1268136000	1268308800	face	head/neck/face	BLAKE COMEAU	1	28
"1019"	Apr 11, 2010	Missed the last 3 regular season games (broken foot).	BLAKE	COMEAU	COLORADO	AVALANCHE	3	TRUE	broken foot	TRUE	19	0	4	08	2010	4	11	2010	3	1270728000	1270987200	foot	foot	BLAKE COMEAU	1	300
"5420"	Feb 13, 2011	Missed 4 games (concussion).	BLAKE	COMEAU	COLORADO	AVALANCHE	4	TRUE	concussion	FALSE	20	0	2	05	2011	2	13	2011	8	1296907200	1297598400	concussion	concussion	BLAKE COMEAU	1	385
"12217"	Mar 13, 2012	Missed 4 games (shoulder injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	4	TRUE	shoulder injury	FALSE	21	0	3	04	2012	3	13	2012	9	1330862400	1331640000	shoulder	upper body	BLAKE COMEAU	1	668
"9106"	Jan 27, 2014	Missed 8 games (sprained left knee).	BLAKE	COMEAU	COLORADO	AVALANCHE	8	TRUE	sprained left knee	FALSE	22	0	1	10	2014	1	27	2014	17	1389355200	1390824000	knee	leg	BLAKE COMEAU	1	3
"11872"	Mar 08, 2014	Missed 10 games (sprained left knee).	BLAKE	COMEAU	COLORADO	AVALANCHE	10	TRUE	sprained left knee	FALSE	23	0	1	30	2014	3	08	2014	37	1391083200	1394280000	knee	leg	BLAKE COMEAU	1	251
"15161"	Nov 15, 2014	Missed 1 game (illness).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	illness	FALSE	24	0	11	14	2014	11	15	2014	1	1415966400	1416052800	cold/virus	illness	BLAKE COMEAU	1	38
"5293"	Feb 11, 2015	Missed 20 games (wrist injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	20	TRUE	wrist injury	FALSE	25	0	12	23	2014	2	11	2015	50	1419336000	1423656000	wrist	arm/hand	BLAKE COMEAU	1	634
"15185"	Nov 15, 2016	Missed 4 games (groin).	BLAKE	COMEAU	COLORADO	AVALANCHE	4	TRUE	groin	FALSE	26	0	11	06	2016	11	15	2016	9	1478433600	1479211200	groin	lower body	BLAKE COMEAU	1	140
"513"	Apr 06, 2017	Missed 1 game (leg injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	leg injury	FALSE	27	0	4	04	2017	4	06	2017	2	1491307200	1491480000	leg	leg	BLAKE COMEAU	1	310
"5680"	Feb 16, 2018	Missed 3 games (upper body injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	3	TRUE	upper body injury	FALSE	28	0	2	10	2018	2	16	2018	6	1518264000	1518782400	upper body	upper body	BLAKE COMEAU	1	NA
"14831"	Nov 10, 2017	Missed 6 games (broken thumb).	J.T.	COMPHER	COLORADO	AVALANCHE	6	TRUE	broken thumb	FALSE	29	0	10	20	2017	11	10	2017	21	1508500800	1510315200	finger	arm/hand	J.T. COMPHER	0	51
"8233"	Jan 16, 2018	Missed 6 games (upper body injury).	J.T.	COMPHER	COLORADO	AVALANCHE	6	TRUE	upper body injury	FALSE	30	0	12	31	2017	1	16	2018	16	1514721600	1516104000	upper body	upper body	J.T. COMPHER	1	9
"9318"	Jan 30, 2018	Missed 1 game (flu).	J.T.	COMPHER	COLORADO	AVALANCHE	1	TRUE	flu	FALSE	31	0	1	25	2018	1	30	2018	5	1516881600	1517313600	cold/virus	illness	J.T. COMPHER	1	NA
"13394"	Mar 29, 2015	Missed 1 game (lower body injury).	ANDREW	HAMMOND	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	32	0	3	28	2015	3	29	2015	1	1427544000	1427630400	lower body	lower body	ANDREW HAMMOND	0	191
"17443"	Oct 14, 2015	Missed 3 games (groin).	ANDREW	HAMMOND	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	33	0	10	06	2015	10	14	2015	8	1444132800	1444824000	groin	lower body	ANDREW HAMMOND	1	33
"2887"	Dec 10, 2015	Missed 11 games (head injury).	ANDREW	HAMMOND	COLORADO	AVALANCHE	11	TRUE	head injury	FALSE	34	0	11	16	2015	12	10	2015	24	1447675200	1449748800	head	head/neck/face	ANDREW HAMMOND	1	324
"15189"	Nov 15, 2016	Missed 8 games (groin).	ANDREW	HAMMOND	COLORADO	AVALANCHE	8	TRUE	groin	FALSE	35	0	10	29	2016	11	15	2016	17	1477742400	1479211200	groin	lower body	ANDREW HAMMOND	1	35
"9046"	Jan 26, 2017	Missed 14 games (ankle injury).	ANDREW	HAMMOND	COLORADO	AVALANCHE	14	TRUE	ankle injury	FALSE	36	0	12	20	2016	1	26	2017	37	1482235200	1485432000	ankle	foot	ANDREW HAMMOND	1	NA
"17646"	Oct 17, 2017	Missed 2 games (knee injury).	TYSON	JOST	COLORADO	AVALANCHE	2	TRUE	knee injury	FALSE	37	0	10	13	2017	10	17	2017	4	1507896000	1508241600	knee	leg	TYSON JOST	0	3
"15274"	Nov 16, 2017	Missed 8 games (lower body injury).	TYSON	JOST	COLORADO	AVALANCHE	8	TRUE	lower body injury	FALSE	38	0	10	20	2017	11	16	2017	27	1508500800	1510833600	lower body	lower body	TYSON JOST	1	62
"8592"	Jan 20, 2018	Missed 1 game (leg injury).	TYSON	JOST	COLORADO	AVALANCHE	1	TRUE	leg injury	FALSE	39	0	1	17	2018	1	20	2018	3	1516190400	1516449600	leg	leg	TYSON JOST	1	NA
"3522"	Dec 18, 2017	Missed 3 games (leg injury).	ALEXANDER	KERFOOT	COLORADO	AVALANCHE	3	TRUE	leg injury	FALSE	40	0	12	12	2017	12	18	2017	6	1513080000	1513598400	leg	leg	ALEXANDER KERFOOT	0	NA
"6151"	Feb 23, 2013	Missed 11 games (head injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	11	TRUE	head injury	FALSE	41	0	1	28	2013	2	23	2013	26	1359374400	1361620800	head	head/neck/face	GABRIEL LANDESKOG	0	28
"12999"	Mar 24, 2013	Missed 1 game (torso injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	1	TRUE	torso injury	FALSE	42	0	3	23	2013	3	24	2013	1	1364040000	1364126400	upper body	upper body	GABRIEL LANDESKOG	1	194
"17076"	Oct 08, 2013	Missed 1 game (leg injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	1	TRUE	leg injury	FALSE	43	0	10	04	2013	10	08	2013	4	1380888000	1381233600	leg	leg	GABRIEL LANDESKOG	1	792
"3102"	Dec 13, 2015	Missed 2 games (back injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	2	TRUE	back injury	FALSE	44	0	12	09	2015	12	13	2015	4	1449662400	1450008000	back	mid body	GABRIEL LANDESKOG	1	340
"2892"	Dec 10, 2016	Missed 10 games (lower body injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	10	TRUE	lower body injury	FALSE	45	0	11	17	2016	12	10	2016	23	1479384000	1481371200	lower body	lower body	GABRIEL LANDESKOG	1	NA
"514"	Apr 06, 2017	Missed 1 game (lower body injury).	ANTON	LINDHOLM	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	46	0	4	04	2017	4	06	2017	2	1491307200	1491480000	lower body	lower body	ANTON LINDHOLM	0	213
"16203"	Nov 28, 2017	Missed 9 games (broken jaw).	ANTON	LINDHOLM	COLORADO	AVALANCHE	9	TRUE	broken jaw	FALSE	47	0	11	05	2017	11	28	2017	23	1509883200	1511870400	mouth	mouth	ANTON LINDHOLM	1	84
"11422"	Mar 02, 2018	Missed 5 games (upper body injury).	ANTON	LINDHOLM	COLORADO	AVALANCHE	5	TRUE	upper body injury	FALSE	48	0	2	20	2018	3	02	2018	10	1519128000	1519992000	upper body	upper body	ANTON LINDHOLM	1	NA
"1080"	Apr 11, 2015	Missed the last 18 regular season games (fractured foot).	NATHAN	MACKINNON	COLORADO	AVALANCHE	18	TRUE	fractured foot	TRUE	49	0	3	06	2015	4	11	2015	36	1425643200	1428753600	foot	foot	NATHAN MACKINNON	0	343
"792"	Apr 09, 2016	Missed 10 games (knee injury).	NATHAN	MACKINNON	COLORADO	AVALANCHE	10	TRUE	knee injury	FALSE	50	0	3	19	2016	4	09	2016	21	1458388800	1460203200	knee	leg	NATHAN MACKINNON	1	663
"5758"	Feb 17, 2018	Missed 8 games (upper body injury).	NATHAN	MACKINNON	COLORADO	AVALANCHE	8	TRUE	upper body injury	FALSE	51	0	2	01	2018	2	17	2018	16	1517486400	1518868800	upper body	upper body	NATHAN MACKINNON	1	NA
"1919"	Apr 27, 2014	Missed the last playoff game (upper body injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	0	TRUE	upper body injury	TRUE	52	0	4	25	2014	4	27	2014	2	1398427200	1398600000	upper body	upper body	PATRIK NEMETH	0	176
"11475"	Mar 03, 2015	Missed 58 games (arm injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	58	TRUE	arm injury	FALSE	53	0	10	20	2014	3	03	2015	134	1413806400	1425384000	arm	arm/hand	PATRIK NEMETH	1	959
"17757"	Oct 19, 2017	Missed 1 game (shoulder injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	1	TRUE	shoulder injury	FALSE	54	0	10	17	2017	10	19	2017	2	1508241600	1508414400	shoulder	upper body	PATRIK NEMETH	1	1
"18322"	Oct 27, 2017	Missed 1 game (lower body injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	55	0	10	20	2017	10	27	2017	7	1508500800	1509105600	lower body	lower body	PATRIK NEMETH	1	14
"2672"	Dec 07, 2017	Missed 12 games (lower body injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	12	TRUE	lower body injury	FALSE	56	0	11	10	2017	12	07	2017	27	1510315200	1512648000	lower body	lower body	PATRIK NEMETH	1	NA
"14208"	Nov 02, 2013	Missed 2 games (hand injury).	MATT	NIETO	COLORADO	AVALANCHE	2	TRUE	hand injury	FALSE	57	0	10	27	2013	11	02	2013	6	1382875200	1383393600	hand	arm/hand	MATT NIETO	0	96
"6666"	Feb 27, 2014	Missed 1 game (bruised foot).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	bruised foot	FALSE	58	0	2	06	2014	2	27	2014	21	1391688000	1393502400	foot	foot	MATT NIETO	1	282
"4343"	Dec 30, 2014	Missed 9 games (lower body injury).	MATT	NIETO	COLORADO	AVALANCHE	9	TRUE	lower body injury	FALSE	59	0	12	06	2014	12	30	2014	24	1417867200	1419940800	lower body	lower body	MATT NIETO	1	327
"15918"	Nov 25, 2015	Missed 1 game (undisclosed).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	undisclosed	FALSE	60	0	11	22	2015	11	25	2015	3	1448193600	1448452800	undisclosed	undisclosed	MATT NIETO	1	14
"3266"	Dec 15, 2015	Missed 2 games (lower body injury).	MATT	NIETO	COLORADO	AVALANCHE	2	TRUE	lower body injury	FALSE	61	0	12	09	2015	12	15	2015	6	1449662400	1450180800	lower body	lower body	MATT NIETO	1	95
"1194"	Apr 12, 2016	Missed the last 12 regular season games (broken knuckle).	MATT	NIETO	COLORADO	AVALANCHE	12	TRUE	broken knuckle	TRUE	62	0	3	19	2016	4	12	2016	24	1458388800	1460462400	finger	arm/hand	MATT NIETO	1	30
"14088"	May 30, 2016	Missed the last 7 playoff games (upper body injury).	MATT	NIETO	COLORADO	AVALANCHE	7	TRUE	upper body injury	TRUE	63	0	5	12	2016	5	30	2016	18	1463054400	1464609600	upper body	upper body	MATT NIETO	1	289
"12606"	Mar 18, 2017	Missed 1 game (knee injury).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	knee injury	FALSE	64	0	3	15	2017	3	18	2017	3	1489579200	1489838400	knee	leg	MATT NIETO	1	231
"14827"	Nov 10, 2017	Missed 2 games (undisclosed).	MATT	NIETO	COLORADO	AVALANCHE	2	TRUE	undisclosed	FALSE	65	0	11	04	2017	11	10	2017	6	1509796800	1510315200	undisclosed	undisclosed	MATT NIETO	1	81
"4533"	Feb 01, 2018	Missed 1 game (lower body injury).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	66	0	1	30	2018	2	01	2018	2	1517313600	1517486400	lower body	lower body	MATT NIETO	1	NA
"711"	Apr 08, 2017	Missed 2 games (lower body injury).	MIKKO	RANTANEN	COLORADO	AVALANCHE	2	TRUE	lower body injury	FALSE	67	0	4	4	2017	4	08	2017	4	1491307200	1491652800	lower body	lower body	MIKKO RANTANEN	0	304
"5061"	Feb 08, 2018	Missed 1 game (lower body injury).	MIKKO	RANTANEN	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	68	0	2	06	2018	2	08	2018	2	1517918400	1518091200	lower body	lower body	MIKKO RANTANEN	1	NA
"17730"	Oct 19, 2013	Missed 6 games (ankle injury).	CARL	SODERBERG	COLORADO	AVALANCHE	6	TRUE	ankle injury	FALSE	69	0	10	01	2013	10	19	2013	18	1380628800	1382184000	ankle	foot	CARL SODERBERG	0	70
"6977"	Jan 02, 2014	Missed 2 games (upper body injury).	CARL	SODERBERG	COLORADO	AVALANCHE	2	TRUE	upper body injury	FALSE	70	0	12	28	2013	1	02	2014	5	1388232000	1388664000	upper body	upper body	CARL SODERBERG	1	NA
"4213"	Dec 29, 2009	Missed 9 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	9	TRUE	groin	FALSE	71	0	12	09	2009	12	29	2009	20	1260360000	1262088000	groin	lower body	SEMYON VARLAMOV	0	281
"17550"	Oct 16, 2010	Missed 4 games (undisclosed).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	4	TRUE	undisclosed	FALSE	72	0	10	06	2010	10	16	2010	10	1286366400	1287230400	undisclosed	undisclosed	SEMYON VARLAMOV	1	7
"14775"	Nov 10, 2010	Missed 13 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	13	TRUE	groin	FALSE	73	0	10	23	2010	11	10	2010	18	1287835200	1289390400	groin	lower body	SEMYON VARLAMOV	1	71
"8697"	Jan 22, 2011	Missed 1 game (lower body injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	74	0	1	20	2011	1	22	2011	2	1295524800	1295697600	lower body	lower body	SEMYON VARLAMOV	1	35
"12855"	Mar 22, 2011	Missed 11 games (knee injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	11	TRUE	knee injury	FALSE	75	0	2	26	2011	3	22	2011	24	1298721600	1300795200	knee	leg	SEMYON VARLAMOV	1	750
"1373"	Apr 15, 2013	Missed 3 games (hip injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	hip injury	FALSE	76	0	4	10	2013	4	15	2013	5	1365595200	1366027200	hip	lower body	SEMYON VARLAMOV	1	549
"18092"	Oct 24, 2014	Missed 3 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	77	0	10	16	2014	10	24	2014	8	1413460800	1414152000	groin	lower body	SEMYON VARLAMOV	1	25
"2294"	Dec 02, 2014	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	78	0	11	18	2014	12	02	2014	14	1416312000	1417521600	groin	lower body	SEMYON VARLAMOV	1	7
"3879"	Dec 23, 2014	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	79	0	12	09	2014	12	23	2014	14	1418126400	1419336000	groin	lower body	SEMYON VARLAMOV	1	77
"12162"	Mar 12, 2015	Missed 1 game (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	1	TRUE	groin	FALSE	80	0	3	10	2015	3	12	2015	2	1425988800	1426161600	groin	lower body	SEMYON VARLAMOV	1	244
"15705"	Nov 22, 2015	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	81	0	11	11	2015	11	22	2015	11	1447243200	1448193600	groin	lower body	SEMYON VARLAMOV	1	369
"16259"	Nov 29, 2016	Missed 1 game (upper body injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	1	TRUE	upper body injury	FALSE	82	0	11	25	2016	11	29	2016	4	1480075200	1480420800	upper body	upper body	SEMYON VARLAMOV	1	14
"3686"	Dec 20, 2016	Missed 3 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	83	0	12	13	2016	12	20	2016	7	1481630400	1482235200	groin	lower body	SEMYON VARLAMOV	1	3
"7234"	Jan 05, 2017	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	84	0	12	23	2016	1	05	2017	13	1482494400	1483617600	groin	lower body	SEMYON VARLAMOV	1	13
"891"	Apr 09, 2017	Missed the last 40 regular season games (hip surgery).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	40	TRUE	hip surgery	TRUE	85	0	1	18	2017	4	09	2017	81	1484740800	1491739200	hip	lower body	SEMYON VARLAMOV	1	227
"16276"	Nov 29, 2017	Missed 3 games (illness).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	illness	FALSE	86	0	11	22	2017	11	29	2017	7	1511352000	1511956800	cold/virus	illness	SEMYON VARLAMOV	1	35
"4536"	Feb 01, 2018	Missed 10 games (strained groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	10	TRUE	strained groin	FALSE	87	0	1	03	2018	2	01	2018	29	1514980800	1517486400	groin	lower body	SEMYON VARLAMOV	1	NA
"17317"	Oct 12, 2009	Missed 3 games (groin).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	88	0	9	30	2009	10	12	2009	12	1254312000	1255348800	groin	lower body	COLIN WILSON	0	817
"7381"	Jan 07, 2012	Missed 3 games (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	upper body injury	FALSE	89	0	1	7	2012	1	07	2012	0	1325937600	1325937600	upper body	upper body	COLIN WILSON	1	75
"13224"	Mar 27, 2012	Missed 3 games (groin).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	90	0	3	22	2012	3	27	2012	5	1332417600	1332849600	groin	lower body	COLIN WILSON	1	349
"1901"	Apr 27, 2013	Missed the last 23 regular season games (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	23	TRUE	upper body injury	TRUE	91	0	3	11	2013	4	27	2013	47	1363003200	1367064000	upper body	upper body	COLIN WILSON	1	563
"15162"	Nov 15, 2014	Missed 2 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	2	TRUE	lower body injury	FALSE	92	0	11	11	2014	11	15	2014	4	1415707200	1416052800	lower body	lower body	COLIN WILSON	1	85
"5369"	Feb 12, 2015	Missed 2 games (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	2	TRUE	upper body injury	FALSE	93	0	2	08	2015	2	12	2015	4	1423396800	1423742400	upper body	upper body	COLIN WILSON	1	37
"13018"	Mar 24, 2015	Missed 1 game (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	94	0	3	21	2015	3	24	2015	3	1426939200	1427198400	lower body	lower body	COLIN WILSON	1	252
"2397"	Dec 03, 2015	Missed 1 game (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	95	0	12	01	2015	12	03	2015	2	1448971200	1449144000	lower body	lower body	COLIN WILSON	1	5
"3424"	Dec 17, 2015	Missed 4 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	4	TRUE	lower body injury	FALSE	96	0	12	08	2015	12	17	2015	9	1449576000	1450353600	lower body	lower body	COLIN WILSON	1	23
"5128"	Feb 09, 2016	Missed 12 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	12	TRUE	lower body injury	FALSE	97	0	1	09	2016	2	09	2016	31	1452340800	1455019200	lower body	lower body	COLIN WILSON	1	284
"15647"	Nov 21, 2016	Missed 1 game (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	upper body injury	FALSE	98	0	11	19	2016	11	21	2016	2	1479556800	1479729600	upper body	upper body	COLIN WILSON	1	48
"8887"	Jan 24, 2017	Missed 8 games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	8	TRUE	lower body injury	FALSE	99	0	1	08	2017	1	24	2017	16	1483876800	1485259200	lower body	lower body	COLIN WILSON	1	51
"12607"	Mar 18, 2017	Missed 1 game (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	100	0	3	16	2017	3	18	2017	2	1489665600	1489838400	lower body	lower body	COLIN WILSON	1	19
"1878"	Apr 26, 2017	Missed the last 2 regular season and first 4 playoff games (lower body injury).	COLIN	WILSON	COLORADO	AVALANCHE	6	TRUE	lower body injury	TRUE	101	0	4	06	2017	4	26	2017	20	1491480000	1493208000	lower body	lower body	COLIN WILSON	1	33
"10499"	Jun 08, 2017	Missed the last 4 playoff games (undisclosed).	COLIN	WILSON	COLORADO	AVALANCHE	4	TRUE	undisclosed	TRUE	102	0	5	29	2017	6	08	2017	10	1496059200	1496923200	undisclosed	undisclosed	COLIN WILSON	1	138
"14832"	Nov 10, 2017	Missed 6 games (hip injury).	COLIN	WILSON	COLORADO	AVALANCHE	6	TRUE	hip injury	FALSE	103	0	10	24	2017	11	10	2017	17	1508846400	1510315200	hip	lower body	COLIN WILSON	1	19
"2541"	Dec 05, 2017	Missed 3 games (hip/groin injury).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	hip/groin injury	FALSE	104	0	11	29	2017	12	05	2017	6	1511956800	1512475200	hip	lower body	COLIN WILSON	1	46
"9328"	Jan 30, 2018	Missed 4 games (flu).	COLIN	WILSON	COLORADO	AVALANCHE	4	TRUE	flu	FALSE	105	0	1	20	2018	1	30	2018	10	1516449600	1517313600	cold/virus	illness	COLIN WILSON	1	NA
"8853"	Jan 24, 2014	Missed 2 games (head injury).	NAIL	YAKUPOV	COLORADO	AVALANCHE	2	TRUE	head injury	FALSE	106	0	1	18	2014	1	24	2014	6	1390046400	1390564800	head	head/neck/face	NAIL YAKUPOV	0	36
"11564"	Mar 04, 2014	Missed 1 game (ankle injury).	NAIL	YAKUPOV	COLORADO	AVALANCHE	1	TRUE	ankle injury	FALSE	107	0	3	01	2014	3	04	2014	3	1393675200	1393934400	ankle	foot	NAIL YAKUPOV	1	14
